id,date,hb,hb_name,daily_positive,cumulative_positive,daily_positive_pcr_only,cumulative_positive_pcr_only,daily_positive_lfd_only,cumulative_positive_lfd_only,daily_positive_pcr_and_lfd,cumulative_positive_pcr_and_lfd,daily_deaths,daily_deaths_qf,cumulative_deaths,cumulative_deaths_qf,crude_rate_deaths,crude_rate_deaths_qf,positive_tests,positive_tests_lfd_only,hospital_admissions,hospital_admissions_qf,icu_admissions,icu_admissions_qf,positive_pillar1,positive_pillar2,first_infections,first_infections_cumulative,reinfections,reinfections_cumulative,percent_reinfections,percent_reinfections_cumulative,total_tests,total_pillar1,total_pillar2,total_lfd,hospital_occupancy,icu_occupancy28daysless,icu_occupancy28daysmore
87,2020-03-10,S08000029,NHS Fife,0,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,3,0,0,NA,0,25,25,0,NA,NA,NA,NA
88,2020-03-10,S08000016,NHS Borders,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,1,0,0,NA,0,12,12,0,NA,NA,NA,NA
89,2020-03-10,S08000015,NHS Ayrshire and Arran,1,4,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,4,0,0,0,0,25,25,0,NA,NA,NA,NA
90,2020-03-11,S92000003,Scotland,25,92,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,58,NA,14,NA,1,NA,58,0,25,92,0,0,0,0,741,741,0,NA,NA,NA,NA
91,2020-03-11,S08000030,NHS Tayside,0,4,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,NA,:,NA,:,2,0,0,4,0,0,NA,0,45,45,0,NA,NA,NA,NA
92,2020-03-11,S08000026,NHS Shetland,0,11,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,0,11,0,0,NA,0,10,10,0,NA,NA,NA,NA
93,2020-03-11,S08000024,NHS Lothian,6,18,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,18,NA,NA,:,NA,:,18,0,6,18,0,0,0,0,194,194,0,NA,NA,NA,NA
94,2020-03-11,S08000032,NHS Lanarkshire,5,9,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,7,NA,NA,:,NA,:,7,0,5,9,0,0,0,0,63,63,0,NA,NA,NA,NA
95,2020-03-11,S08000022,NHS Highland,1,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,2,0,0,0,0,34,34,0,NA,NA,NA,NA
96,2020-03-11,S08000031,NHS Greater Glasgow and Clyde,11,22,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,22,NA,NA,:,NA,:,22,0,11,22,0,0,0,0,215,215,0,NA,NA,NA,NA
97,2020-03-11,S08000020,NHS Grampian,0,8,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,0,8,0,0,NA,0,30,30,0,NA,NA,NA,NA
98,2020-03-11,S08000019,NHS Forth Valley,0,8,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,0,8,0,0,NA,0,35,35,0,NA,NA,NA,NA
99,2020-03-11,S08000029,NHS Fife,1,4,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,4,0,0,0,0,19,19,0,NA,NA,NA,NA
100,2020-03-11,S08000016,NHS Borders,1,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,4,NA,NA,:,NA,:,4,0,1,2,0,0,0,0,26,26,0,NA,NA,NA,NA
101,2020-03-11,S08000015,NHS Ayrshire and Arran,0,4,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,4,0,0,NA,0,46,46,0,NA,NA,NA,NA
102,2020-03-12,S92000003,Scotland,38,130,NA,NA,NA,NA,NA,NA,1,NA,1,NA,0.01829491401390413,NA,80,NA,7,NA,0,NA,80,0,38,130,0,0,0,0,893,893,0,NA,NA,NA,NA
103,2020-03-12,S08000030,NHS Tayside,9,13,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,18,NA,NA,:,NA,:,18,0,9,13,0,0,0,0,76,76,0,NA,NA,NA,NA
104,2020-03-12,S08000026,NHS Shetland,0,11,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,11,0,0,NA,0,5,5,0,NA,NA,NA,NA
105,2020-03-12,S08000024,NHS Lothian,5,23,NA,NA,NA,NA,NA,NA,1,NA,1,NA,0.10959024208484476,NA,11,NA,NA,:,NA,:,11,0,5,23,0,0,0,0,198,198,0,NA,NA,NA,NA
106,2020-03-12,S08000032,NHS Lanarkshire,0,9,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,9,0,0,NA,0,78,78,0,NA,NA,NA,NA
107,2020-03-12,S08000022,NHS Highland,0,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,2,0,0,NA,0,35,35,0,NA,NA,NA,NA
