Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,DailyDeaths,DailyDeathsQF,CumulativeDeaths,CumulativeDeathsQF,CrudeRateDeaths,CrudeRateDeathsQF,FirstInfections,FirstInfectionsCumulative,Reinfections,ReinfectionsCumulative,PercentReinfections,PercentReinfectionsCumulative
20200311,S92000003,Female,"",65 to 74,"",0,2,0,"",0,"",0,"",0,2,0,0,,0
20200311,S92000003,Female,"",75 to 84,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200311,S92000003,Female,"",Total,d,10,33,0,"",0,"",0,"",10,33,0,0,0,0
20200311,S92000003,Male,"",0 to 59,"",12,48,0,"",0,"",0,"",12,48,0,0,0,0
20200311,S92000003,Male,"",15 to 19,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200311,S92000003,Male,"",20 to 24,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200311,S92000003,Male,"",25 to 44,"",4,26,0,"",0,"",0,"",4,26,0,0,0,0
20200311,S92000003,Male,"",45 to 64,"",10,25,0,"",0,"",0,"",10,25,0,0,0,0
20200311,S92000003,Male,"",60+,"",3,11,0,"",0,"",0,"",3,11,0,0,0,0
20200311,S92000003,Male,"",65 to 74,"",0,4,0,"",0,"",0,"",0,4,0,0,,0
20200311,S92000003,Male,"",75 to 84,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200311,S92000003,Male,"",Total,d,15,59,0,"",0,"",0,"",15,59,0,0,0,0
20200311,S92000003,Total,d,0 to 59,"",19,75,0,"",0,"",0,"",19,75,0,0,0,0
20200311,S92000003,Total,d,15 to 19,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200311,S92000003,Total,d,20 to 24,"",2,5,0,"",0,"",0,"",2,5,0,0,0,0
20200311,S92000003,Total,d,25 to 44,"",8,36,0,"",0,"",0,"",8,36,0,0,0,0
20200311,S92000003,Total,d,45 to 64,"",14,42,0,"",0,"",0,"",14,42,0,0,0,0
20200311,S92000003,Total,d,60+,"",6,17,0,"",0,"",0,"",6,17,0,0,0,0
20200311,S92000003,Total,d,65 to 74,"",0,6,0,"",0,"",0,"",0,6,0,0,,0
20200311,S92000003,Total,d,75 to 84,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200311,S92000003,Total,d,Total,d,25,92,0,"",0,"",0,"",25,92,0,0,0,0
20200312,S92000003,Female,"",0 to 59,"",9,36,0,"",0,"",0,"",9,36,0,0,0,0
20200312,S92000003,Female,"",20 to 24,"",1,4,0,"",0,"",0,"",1,4,0,0,0,0
20200312,S92000003,Female,"",25 to 44,"",5,15,0,"",0,"",0,"",5,15,0,0,0,0
20200312,S92000003,Female,"",45 to 64,"",5,22,0,"",0,"",0,"",5,22,0,0,0,0
20200312,S92000003,Female,"",60+,"",6,12,0,"",0,"",0,"",6,12,0,0,0,0
20200312,S92000003,Female,"",65 to 74,"",1,3,0,"",0,"",0,"",1,3,0,0,0,0
20200312,S92000003,Female,"",75 to 84,"",2,3,0,"",0,"",0,"",2,3,0,0,0,0
20200312,S92000003,Female,"",85plus,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200312,S92000003,Female,"",Total,d,15,48,0,"",0,"",0,"",15,48,0,0,0,0
20200312,S92000003,Male,"",0 to 59,"",17,65,0,"",0,"",0,"",17,65,0,0,0,0
20200312,S92000003,Male,"",15 to 19,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200312,S92000003,Male,"",20 to 24,"",0,2,0,"",0,"",0,"",0,2,0,0,,0
20200312,S92000003,Male,"",25 to 44,"",7,33,0,"",0,"",0,"",7,33,0,0,0,0
20200312,S92000003,Male,"",45 to 64,"",10,35,0,"",0,"",0,"",10,35,0,0,0,0
20200312,S92000003,Male,"",60+,"",6,17,1,"",1,"",0.15467856247931175,"",6,17,0,0,0,0
20200312,S92000003,Male,"",65 to 74,"",5,9,1,"",1,"",0.3565837847089741,"",5,9,0,0,0,0
20200312,S92000003,Male,"",75 to 84,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200312,S92000003,Male,"",Total,d,23,82,1,"",1,"",0.03752046741497487,"",23,82,0,0,0,0
20200312,S92000003,Total,d,0 to 59,"",26,101,0,"",0,"",0,"",26,101,0,0,0,0
20200312,S92000003,Total,d,15 to 19,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200312,S92000003,Total,d,20 to 24,"",1,6,0,"",0,"",0,"",1,6,0,0,0,0
20200312,S92000003,Total,d,25 to 44,"",12,48,0,"",0,"",0,"",12,48,0,0,0,0
20200312,S92000003,Total,d,45 to 64,"",15,57,0,"",0,"",0,"",15,57,0,0,0,0
20200312,S92000003,Total,d,60+,"",12,29,1,"",1,"",0.0709900053171514,"",12,29,0,0,0,0
20200312,S92000003,Total,d,65 to 74,"",6,12,1,"",1,"",0.170571910558913,"",6,12,0,0,0,0
20200312,S92000003,Total,d,75 to 84,"",2,4,0,"",0,"",0,"",2,4,0,0,0,0
20200312,S92000003,Total,d,85plus,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200312,S92000003,Total,d,Total,d,38,130,1,"",1,"",0.018294914013904134,"",38,130,0,0,0,0
20200313,S92000003,Female,"",0 to 59,"",14,50,0,"",0,"",0,"",14,50,0,0,0,0
20200313,S92000003,Female,"",20 to 24,"",2,6,0,"",0,"",0,"",2,6,0,0,0,0
20200313,S92000003,Female,"",25 to 44,"",4,19,0,"",0,"",0,"",4,19,0,0,0,0
20200313,S92000003,Female,"",45 to 64,"",10,32,0,"",0,"",0,"",10,32,0,0,0,0
20200313,S92000003,Female,"",60+,"",9,21,0,"",0,"",0,"",9,21,0,0,0,0
20200313,S92000003,Female,"",65 to 74,"",3,6,0,"",0,"",0,"",3,6,0,0,0,0
20200313,S92000003,Female,"",75 to 84,"",2,5,0,"",0,"",0,"",2,5,0,0,0,0
20200313,S92000003,Female,"",85plus,"",2,3,0,"",0,"",0,"",2,3,0,0,0,0
20200313,S92000003,Female,"",Total,d,23,71,0,"",0,"",0,"",23,71,0,0,0,0
20200313,S92000003,Male,"",0 to 14,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200313,S92000003,Male,"",0 to 59,"",17,82,0,"",0,"",0,"",17,82,0,0,0,0
20200313,S92000003,Male,"",15 to 19,"",2,4,0,"",0,"",0,"",2,4,0,0,0,0
20200313,S92000003,Male,"",20 to 24,"",3,5,0,"",0,"",0,"",3,5,0,0,0,0
20200313,S92000003,Male,"",25 to 44,"",4,37,0,"",0,"",0,"",4,37,0,0,0,0
20200313,S92000003,Male,"",45 to 64,"",9,44,0,"",0,"",0,"",9,44,0,0,0,0
20200313,S92000003,Male,"",60+,"",8,25,0,"",1,"",0.15467856247931175,"",8,25,0,0,0,0
20200313,S92000003,Male,"",65 to 74,"",4,13,0,"",1,"",0.3565837847089741,"",4,13,0,0,0,0
